sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
134,4.756678e-07,7.000000e-08,9.126239e+20,6.257442e-07,1.310000e-06,9.887965e-04,8.483470e-01,8.388426e-01,1.093940e+01,2.259618e+03,1.165912e+02,3.792051e-01
135,3.826619e-07,1.000000e-07,7.417647e+20,4.930419e-07,1.310000e-06,6.914820e-04,8.727946e-01,6.035217e-01,1.676219e+01,3.107132e+03,6.892621e+01,6.890969e-01
136,4.756913e-07,7.000000e-08,9.125764e+20,6.260193e-07,1.310000e-06,9.891823e-04,8.483287e-01,8.391518e-01,1.093411e+01,2.259492e+03,1.166547e+02,3.790256e-01
137,4.757015e-07,7.000000e-08,9.127568e+20,6.260936e-07,1.310000e-06,9.894546e-04,8.483160e-01,8.393702e-01,1.093039e+01,2.259127e+03,1.166873e+02,3.789000e-01
138,4.986905e-07,1.200000e-07,1.559423e+20,6.264668e-09,1.310000e-06,7.751767e-04,,1.937942e+00,7.856500e+04,,1.004590e+00,1.613235e+02
139,4.757298e-07,7.000000e-08,9.126382e+20,6.263993e-07,1.310000e-06,9.898650e-04,8.483007e-01,8.397031e-01,1.092476e+01,2.258556e+03,1.167232e+02,3.787103e-01
140,4.757408e-07,7.000000e-08,9.127371e+20,6.265021e-07,1.310000e-06,9.901485e-04,8.482877e-01,8.399308e-01,1.092089e+01,2.258244e+03,1.167558e+02,3.785798e-01
141,4.757519e-07,7.000000e-08,9.128067e+20,6.266107e-07,1.310000e-06,9.904213e-04,8.482750e-01,8.401496e-01,1.091715e+01,2.257933e+03,1.167819e+02,3.784536e-01
142,4.757638e-07,7.000000e-08,9.128605e+20,6.267247e-07,1.310000e-06,9.906955e-04,8.482627e-01,8.403701e-01,1.091342e+01,2.257558e+03,1.168159e+02,3.783285e-01
143,4.757757e-07,7.000000e-08,9.129074e+20,6.268410e-07,1.310000e-06,9.909704e-04,8.482481e-01,8.405887e-01,1.090968e+01,2.257476e+03,1.168592e+02,3.782022e-01
144,4.757883e-07,7.000000e-08,9.129481e+20,6.269641e-07,1.310000e-06,9.912528e-04,8.482355e-01,8.408158e-01,1.090582e+01,2.257077e+03,1.168941e+02,3.780722e-01
145,4.613326e-07,7.000000e-08,6.603830e+20,4.020955e-07,1.310000e-06,8.507351e-04,8.543528e-01,7.268279e-01,1.316073e+01,2.252491e+03,9.567822e+01,4.722543e-01
146,4.623340e-07,1.000000e-07,3.407188e+20,1.897964e-07,1.310000e-06,6.883330e-04,8.694602e-01,5.984781e-01,1.757980e+01,3.024752e+03,6.110866e+01,7.513262e-01
147,4.758477e-07,7.000000e-08,9.129682e+20,6.272965e-07,1.310000e-06,9.921392e-04,8.481940e-01,8.415266e-01,1.089377e+01,2.256202e+03,1.170082e+02,3.776679e-01
148,4.758907e-07,7.000000e-08,9.130302e+20,6.274553e-07,1.310000e-06,9.926286e-04,8.481712e-01,8.419190e-01,1.088711e+01,2.255626e+03,1.170695e+02,3.774449e-01
149,4.706149e-07,9.000000e-08,3.734130e+19,2.529595e-08,1.310000e-06,7.478386e-04,8.668243e-01,6.482447e-01,1.657809e+01,3.951592e+03,5.582008e+01,6.840339e-01
150,4.645525e-07,7.000000e-08,8.500328e+20,4.546658e-07,1.310000e-06,8.092801e-04,8.575222e-01,6.939756e-01,1.396273e+01,2.390832e+03,9.419915e+01,5.139055e-01
